"file","simulator","depth_label","dropout","separability","n_cells_target","batch","gene_strategy","clipping","is_null_control","error"
"data/simulated/sce/scdesign3/scdesign3_sce_run_00179.rds","scdesign3","10000","high","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00180.rds","scdesign3","10000","high","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00181.rds","scdesign3","500","none","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00182.rds","scdesign3","500","none","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00183.rds","scdesign3","500","none","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00184.rds","scdesign3","500","none","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00185.rds","scdesign3","500","none","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00186.rds","scdesign3","2000","none","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00187.rds","scdesign3","2000","none","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00188.rds","scdesign3","2000","none","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00189.rds","scdesign3","2000","none","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00190.rds","scdesign3","2000","none","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00191.rds","scdesign3","10000","none","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00192.rds","scdesign3","10000","none","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00193.rds","scdesign3","10000","none","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00194.rds","scdesign3","10000","none","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00195.rds","scdesign3","10000","none","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00196.rds","scdesign3","500","low","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00197.rds","scdesign3","500","low","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00198.rds","scdesign3","500","low","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00199.rds","scdesign3","500","low","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00200.rds","scdesign3","500","low","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00201.rds","scdesign3","2000","low","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00202.rds","scdesign3","2000","low","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00203.rds","scdesign3","2000","low","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00204.rds","scdesign3","2000","low","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00205.rds","scdesign3","2000","low","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00206.rds","scdesign3","10000","low","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00207.rds","scdesign3","10000","low","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00208.rds","scdesign3","10000","low","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00209.rds","scdesign3","10000","low","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00210.rds","scdesign3","10000","low","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00211.rds","scdesign3","500","high","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00212.rds","scdesign3","500","high","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00213.rds","scdesign3","500","high","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00214.rds","scdesign3","500","high","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00215.rds","scdesign3","500","high","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00216.rds","scdesign3","2000","high","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00217.rds","scdesign3","2000","high","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00218.rds","scdesign3","2000","high","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00219.rds","scdesign3","2000","high","medium","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00220.rds","scdesign3","2000","high","medium","1000","none","all","none","FALSE",NA
