"source","run_id","method","status","subspace_recovery_score_samegenes","grassmann_distance_samegenes","n_genes_used_samegenes","subspace_recovery_score","grassmann_distance","recovery_score_delta"
"symsim",175,"pca_log","ok",0.0793943620153928,1.91896392669024,2000,0.0793943620153928,1.91896392669024,-1.38777878078145e-17
"symsim",175,"pca_raw","ok",0.315618334190853,1.65454726835971,2000,0.315618334190853,1.65454726835971,1.11022302462516e-16
"symsim",175,"pca_shiftedlog","ok",0.238202966136206,1.74561969954947,2000,0.238202966136206,1.74561969954947,8.32667268468867e-17
"symsim",176,"pca_libnorm","ok",0.501145789879022,1.41259224140723,2000,0.501145789879022,1.41259224140723,-1.11022302462516e-16
"symsim",176,"pca_log","ok",0.124951869313112,1.87088014654802,2000,0.124951869313113,1.87088014654802,-7.07767178198537e-16
"symsim",176,"pca_raw","ok",0.541723951024837,1.35392178352394,2000,0.541723951024837,1.35392178352394,4.44089209850063e-16
"symsim",176,"pca_shiftedlog","ok",0.220533341277528,1.76574817991974,2000,0.220533341277528,1.76574817991974,-1.66533453693773e-16
"symsim",177,"pca_libnorm","ok",0.38848038901223,1.56399438744232,2000,0.38848038901223,1.56399438744232,-3.33066907387547e-16
"symsim",177,"pca_log","ok",0.195321708385226,1.79407724651396,2000,0.195321708385225,1.79407724651396,5.82867087928207e-16
"symsim",177,"pca_raw","ok",0.487908195578811,1.43121180042814,2000,0.487908195578811,1.43121180042814,-4.44089209850063e-16
"symsim",177,"pca_shiftedlog","ok",0.37421942864587,1.58212587533879,2000,0.374219428645869,1.58212587533879,5.55111512312578e-16
"symsim",178,"pca_libnorm","ok",0.360868459576557,1.59891405700675,2000,0.360868459576557,1.59891405700675,1.66533453693773e-16
"symsim",178,"pca_log","ok",0.24009085338204,1.74345535832491,2000,0.240090853382039,1.74345535832491,6.38378239159465e-16
"symsim",178,"pca_raw","ok",0.433266769738853,1.50563372738677,2000,0.433266769738853,1.50563372738677,-5.55111512312578e-17
"symsim",178,"pca_shiftedlog","ok",0.381279712361924,1.57317549896771,2000,0.381279712361924,1.57317549896771,-5.55111512312578e-17
