"run_id","sparsity","depth","dropout","separability","n_cells","n_groups","batch","gene_strategy","clipping","is_null_control"
241,0.7,500,"high","high",1000,5,"none","all","none",FALSE
242,0.8,500,"high","high",1000,5,"none","all","none",FALSE
243,0.9,500,"high","high",1000,5,"none","all","none",FALSE
244,0.95,500,"high","high",1000,5,"none","all","none",FALSE
245,0.98,500,"high","high",1000,5,"none","all","none",FALSE
246,0.7,2000,"high","high",1000,5,"none","all","none",FALSE
247,0.8,2000,"high","high",1000,5,"none","all","none",FALSE
248,0.9,2000,"high","high",1000,5,"none","all","none",FALSE
249,0.95,2000,"high","high",1000,5,"none","all","none",FALSE
250,0.98,2000,"high","high",1000,5,"none","all","none",FALSE
251,0.7,10000,"high","high",1000,5,"none","all","none",FALSE
252,0.8,10000,"high","high",1000,5,"none","all","none",FALSE
253,0.9,10000,"high","high",1000,5,"none","all","none",FALSE
254,0.95,10000,"high","high",1000,5,"none","all","none",FALSE
255,0.98,10000,"high","high",1000,5,"none","all","none",FALSE
256,0.7,500,"low","high",1000,5,"none","all","none",FALSE
257,0.8,500,"low","high",1000,5,"none","all","none",FALSE
258,0.9,500,"low","high",1000,5,"none","all","none",FALSE
259,0.95,500,"low","high",1000,5,"none","all","none",FALSE
260,0.98,500,"low","high",1000,5,"none","all","none",FALSE
261,0.7,2000,"low","high",1000,5,"none","all","none",FALSE
262,0.8,2000,"low","high",1000,5,"none","all","none",FALSE
263,0.9,2000,"low","high",1000,5,"none","all","none",FALSE
264,0.95,2000,"low","high",1000,5,"none","all","none",FALSE
265,0.98,2000,"low","high",1000,5,"none","all","none",FALSE
266,0.7,10000,"low","high",1000,5,"none","all","none",FALSE
267,0.8,10000,"low","high",1000,5,"none","all","none",FALSE
268,0.9,10000,"low","high",1000,5,"none","all","none",FALSE
269,0.95,10000,"low","high",1000,5,"none","all","none",FALSE
270,0.98,10000,"low","high",1000,5,"none","all","none",FALSE
271,0.7,500,"none","low",5000,5,"none","all","none",FALSE
272,0.8,500,"none","low",5000,5,"none","all","none",FALSE
273,0.9,500,"none","low",5000,5,"none","all","none",FALSE
274,0.95,500,"none","low",5000,5,"none","all","none",FALSE
275,0.98,500,"none","low",5000,5,"none","all","none",FALSE
276,0.7,2000,"none","low",5000,5,"none","all","none",FALSE
277,0.8,2000,"none","low",5000,5,"none","all","none",FALSE
278,0.9,2000,"none","low",5000,5,"none","all","none",FALSE
279,0.95,2000,"none","low",5000,5,"none","all","none",FALSE
280,0.98,2000,"none","low",5000,5,"none","all","none",FALSE
281,0.7,10000,"none","low",5000,5,"none","all","none",FALSE
282,0.8,10000,"none","low",5000,5,"none","all","none",FALSE
283,0.9,10000,"none","low",5000,5,"none","all","none",FALSE
284,0.95,10000,"none","low",5000,5,"none","all","none",FALSE
285,0.98,10000,"none","low",5000,5,"none","all","none",FALSE
286,0.7,500,"high","low",5000,5,"none","all","none",FALSE
287,0.8,500,"high","low",5000,5,"none","all","none",FALSE
288,0.9,500,"high","low",5000,5,"none","all","none",FALSE
289,0.95,500,"high","low",5000,5,"none","all","none",FALSE
290,0.98,500,"high","low",5000,5,"none","all","none",FALSE
291,0.7,2000,"high","low",5000,5,"none","all","none",FALSE
292,0.8,2000,"high","low",5000,5,"none","all","none",FALSE
293,0.9,2000,"high","low",5000,5,"none","all","none",FALSE
294,0.95,2000,"high","low",5000,5,"none","all","none",FALSE
295,0.98,2000,"high","low",5000,5,"none","all","none",FALSE
296,0.7,10000,"high","low",5000,5,"none","all","none",FALSE
297,0.8,10000,"high","low",5000,5,"none","all","none",FALSE
298,0.9,10000,"high","low",5000,5,"none","all","none",FALSE
299,0.95,10000,"high","low",5000,5,"none","all","none",FALSE
300,0.98,10000,"high","low",5000,5,"none","all","none",FALSE
301,0.7,500,"low","low",5000,5,"none","all","none",FALSE
302,0.8,500,"low","low",5000,5,"none","all","none",FALSE
303,0.9,500,"low","low",5000,5,"none","all","none",FALSE
304,0.95,500,"low","low",5000,5,"none","all","none",FALSE
305,0.98,500,"low","low",5000,5,"none","all","none",FALSE
306,0.7,2000,"low","low",5000,5,"none","all","none",FALSE
307,0.8,2000,"low","low",5000,5,"none","all","none",FALSE
308,0.9,2000,"low","low",5000,5,"none","all","none",FALSE
309,0.95,2000,"low","low",5000,5,"none","all","none",FALSE
310,0.98,2000,"low","low",5000,5,"none","all","none",FALSE
311,0.7,10000,"low","low",5000,5,"none","all","none",FALSE
312,0.8,10000,"low","low",5000,5,"none","all","none",FALSE
313,0.9,10000,"low","low",5000,5,"none","all","none",FALSE
314,0.95,10000,"low","low",5000,5,"none","all","none",FALSE
315,0.98,10000,"low","low",5000,5,"none","all","none",FALSE
316,0.7,500,"none","medium",5000,5,"none","all","none",FALSE
317,0.8,500,"none","medium",5000,5,"none","all","none",FALSE
318,0.9,500,"none","medium",5000,5,"none","all","none",FALSE
319,0.95,500,"none","medium",5000,5,"none","all","none",FALSE
320,0.98,500,"none","medium",5000,5,"none","all","none",FALSE
321,0.7,2000,"none","medium",5000,5,"none","all","none",FALSE
322,0.8,2000,"none","medium",5000,5,"none","all","none",FALSE
323,0.9,2000,"none","medium",5000,5,"none","all","none",FALSE
324,0.95,2000,"none","medium",5000,5,"none","all","none",FALSE
325,0.98,2000,"none","medium",5000,5,"none","all","none",FALSE
326,0.7,10000,"none","medium",5000,5,"none","all","none",FALSE
327,0.8,10000,"none","medium",5000,5,"none","all","none",FALSE
328,0.9,10000,"none","medium",5000,5,"none","all","none",FALSE
329,0.95,10000,"none","medium",5000,5,"none","all","none",FALSE
330,0.98,10000,"none","medium",5000,5,"none","all","none",FALSE
331,0.7,500,"high","medium",5000,5,"none","all","none",FALSE
332,0.8,500,"high","medium",5000,5,"none","all","none",FALSE
333,0.9,500,"high","medium",5000,5,"none","all","none",FALSE
334,0.95,500,"high","medium",5000,5,"none","all","none",FALSE
335,0.98,500,"high","medium",5000,5,"none","all","none",FALSE
336,0.7,2000,"high","medium",5000,5,"none","all","none",FALSE
337,0.8,2000,"high","medium",5000,5,"none","all","none",FALSE
338,0.9,2000,"high","medium",5000,5,"none","all","none",FALSE
339,0.95,2000,"high","medium",5000,5,"none","all","none",FALSE
340,0.98,2000,"high","medium",5000,5,"none","all","none",FALSE
341,0.7,10000,"high","medium",5000,5,"none","all","none",FALSE
342,0.8,10000,"high","medium",5000,5,"none","all","none",FALSE
343,0.9,10000,"high","medium",5000,5,"none","all","none",FALSE
344,0.95,10000,"high","medium",5000,5,"none","all","none",FALSE
345,0.98,10000,"high","medium",5000,5,"none","all","none",FALSE
346,0.7,500,"low","medium",5000,5,"none","all","none",FALSE
347,0.8,500,"low","medium",5000,5,"none","all","none",FALSE
348,0.9,500,"low","medium",5000,5,"none","all","none",FALSE
349,0.95,500,"low","medium",5000,5,"none","all","none",FALSE
350,0.98,500,"low","medium",5000,5,"none","all","none",FALSE
351,0.7,2000,"low","medium",5000,5,"none","all","none",FALSE
352,0.8,2000,"low","medium",5000,5,"none","all","none",FALSE
353,0.9,2000,"low","medium",5000,5,"none","all","none",FALSE
354,0.95,2000,"low","medium",5000,5,"none","all","none",FALSE
355,0.98,2000,"low","medium",5000,5,"none","all","none",FALSE
356,0.7,10000,"low","medium",5000,5,"none","all","none",FALSE
357,0.8,10000,"low","medium",5000,5,"none","all","none",FALSE
358,0.9,10000,"low","medium",5000,5,"none","all","none",FALSE
359,0.95,10000,"low","medium",5000,5,"none","all","none",FALSE
360,0.98,10000,"low","medium",5000,5,"none","all","none",FALSE
361,0.7,500,"none","high",5000,5,"none","all","none",FALSE
362,0.8,500,"none","high",5000,5,"none","all","none",FALSE
363,0.9,500,"none","high",5000,5,"none","all","none",FALSE
364,0.95,500,"none","high",5000,5,"none","all","none",FALSE
365,0.98,500,"none","high",5000,5,"none","all","none",FALSE
366,0.7,2000,"none","high",5000,5,"none","all","none",FALSE
367,0.8,2000,"none","high",5000,5,"none","all","none",FALSE
368,0.9,2000,"none","high",5000,5,"none","all","none",FALSE
369,0.95,2000,"none","high",5000,5,"none","all","none",FALSE
370,0.98,2000,"none","high",5000,5,"none","all","none",FALSE
371,0.7,10000,"none","high",5000,5,"none","all","none",FALSE
372,0.8,10000,"none","high",5000,5,"none","all","none",FALSE
373,0.9,10000,"none","high",5000,5,"none","all","none",FALSE
374,0.95,10000,"none","high",5000,5,"none","all","none",FALSE
375,0.98,10000,"none","high",5000,5,"none","all","none",FALSE
376,0.7,500,"high","high",5000,5,"none","all","none",FALSE
377,0.8,500,"high","high",5000,5,"none","all","none",FALSE
378,0.9,500,"high","high",5000,5,"none","all","none",FALSE
379,0.95,500,"high","high",5000,5,"none","all","none",FALSE
380,0.98,500,"high","high",5000,5,"none","all","none",FALSE
381,0.7,2000,"high","high",5000,5,"none","all","none",FALSE
382,0.8,2000,"high","high",5000,5,"none","all","none",FALSE
383,0.9,2000,"high","high",5000,5,"none","all","none",FALSE
384,0.95,2000,"high","high",5000,5,"none","all","none",FALSE
385,0.98,2000,"high","high",5000,5,"none","all","none",FALSE
386,0.7,10000,"high","high",5000,5,"none","all","none",FALSE
387,0.8,10000,"high","high",5000,5,"none","all","none",FALSE
388,0.9,10000,"high","high",5000,5,"none","all","none",FALSE
389,0.95,10000,"high","high",5000,5,"none","all","none",FALSE
390,0.98,10000,"high","high",5000,5,"none","all","none",FALSE
391,0.7,500,"low","high",5000,5,"none","all","none",FALSE
392,0.8,500,"low","high",5000,5,"none","all","none",FALSE
393,0.9,500,"low","high",5000,5,"none","all","none",FALSE
394,0.95,500,"low","high",5000,5,"none","all","none",FALSE
395,0.98,500,"low","high",5000,5,"none","all","none",FALSE
396,0.7,2000,"low","high",5000,5,"none","all","none",FALSE
397,0.8,2000,"low","high",5000,5,"none","all","none",FALSE
398,0.9,2000,"low","high",5000,5,"none","all","none",FALSE
399,0.95,2000,"low","high",5000,5,"none","all","none",FALSE
400,0.98,2000,"low","high",5000,5,"none","all","none",FALSE
401,0.7,10000,"low","high",5000,5,"none","all","none",FALSE
402,0.8,10000,"low","high",5000,5,"none","all","none",FALSE
403,0.9,10000,"low","high",5000,5,"none","all","none",FALSE
404,0.95,10000,"low","high",5000,5,"none","all","none",FALSE
405,0.98,10000,"low","high",5000,5,"none","all","none",FALSE
406,0.7,500,"none","low",200,5,"simple","all","none",FALSE
