"axis","simulator","method","failure_mode","threshold_status","threshold_value","mean_flag_rate","min_flag_rate","max_flag_rate","alignment"
"depth","scdesign3","pca_glmpca","step6_7_subspace_rotation_slippage","always_below_threshold",NA,0.993415637860082,0.985185185185185,0.997530864197531,"consistent_uniform_high"
"depth","scdesign3","pca_libnorm","step6_1_technical_separation","always_below_threshold",NA,0,0,0,"inconsistent_low_flag_despite_always_failing"
"depth","scdesign3","pca_libnorm","step6_2_cluster_collapse","always_below_threshold",NA,1,1,1,"consistent_uniform_high"
"depth","scdesign3","pca_libnorm","step6_4_variance_hijacking","always_below_threshold",NA,0,0,0,"inconsistent_low_flag_despite_always_failing"
"depth","scdesign3","pca_libnorm","step6_6_neighborhood_collapse","always_below_threshold",NA,1,1,1,"consistent_uniform_high"
"depth","scdesign3","pca_libnorm","step6_7_subspace_rotation_slippage","always_below_threshold",NA,0.923456790123457,0.916049382716049,0.933333333333333,"consistent_uniform_high"
"depth","scdesign3","pca_log","step6_1_technical_separation","always_below_threshold",NA,0,0,0,"inconsistent_low_flag_despite_always_failing"
"depth","scdesign3","pca_log","step6_2_cluster_collapse","always_below_threshold",NA,1,1,1,"consistent_uniform_high"
"depth","scdesign3","pca_log","step6_4_variance_hijacking","always_below_threshold",NA,0.00164609053497942,0,0.00493827160493827,"inconsistent_low_flag_despite_always_failing"
"depth","scdesign3","pca_log","step6_6_neighborhood_collapse","always_below_threshold",NA,0.838683127572016,0.68641975308642,0.916049382716049,"consistent_uniform_high"
"depth","scdesign3","pca_log","step6_7_subspace_rotation_slippage","always_below_threshold",NA,1,1,1,"consistent_uniform_high"
"depth","scdesign3","pca_raw","step6_1_technical_separation","always_below_threshold",NA,0,0,0,"inconsistent_low_flag_despite_always_failing"
"depth","scdesign3","pca_raw","step6_2_cluster_collapse","always_below_threshold",NA,1,1,1,"consistent_uniform_high"
"depth","scdesign3","pca_raw","step6_4_variance_hijacking","always_below_threshold",NA,0.837037037037037,0.777777777777778,0.898765432098765,"consistent_uniform_high"
"depth","scdesign3","pca_raw","step6_6_neighborhood_collapse","always_below_threshold",NA,1,1,1,"consistent_uniform_high"
"depth","scdesign3","pca_raw","step6_7_subspace_rotation_slippage","always_below_threshold",NA,0.979423868312757,0.975308641975309,0.987654320987654,"consistent_uniform_high"
"depth","scdesign3","pca_sctransform_v2","step6_1_technical_separation","always_below_threshold",NA,0,0,0,"inconsistent_low_flag_despite_always_failing"
"depth","scdesign3","pca_sctransform_v2","step6_2_cluster_collapse","always_below_threshold",NA,0.981893004115226,0.945679012345679,1,"consistent_uniform_high"
"depth","scdesign3","pca_sctransform_v2","step6_4_variance_hijacking","always_below_threshold",NA,0,0,0,"inconsistent_low_flag_despite_always_failing"
"depth","scdesign3","pca_sctransform_v2","step6_6_neighborhood_collapse","always_below_threshold",NA,0.996707818930041,0.990123456790123,1,"consistent_uniform_high"
"depth","scdesign3","pca_sctransform_v2","step6_7_subspace_rotation_slippage","always_below_threshold",NA,0.99917695473251,0.997530864197531,1,"consistent_uniform_high"
"depth","scdesign3","pca_shiftedlog","step6_1_technical_separation","always_below_threshold",NA,0,0,0,"inconsistent_low_flag_despite_always_failing"
"depth","scdesign3","pca_shiftedlog","step6_2_cluster_collapse","always_below_threshold",NA,1,1,1,"consistent_uniform_high"
"depth","scdesign3","pca_shiftedlog","step6_4_variance_hijacking","always_below_threshold",NA,0,0,0,"inconsistent_low_flag_despite_always_failing"
"depth","scdesign3","pca_shiftedlog","step6_6_neighborhood_collapse","always_below_threshold",NA,0.948971193415638,0.918518518518519,0.975308641975309,"consistent_uniform_high"
"depth","scdesign3","pca_shiftedlog","step6_7_subspace_rotation_slippage","always_below_threshold",NA,0.918518518518519,0.777777777777778,0.995061728395062,"consistent_uniform_high"
"depth","splatter","pca_glmpca","step6_1_technical_separation","always_below_threshold",NA,0.0366097706305569,0.000548696844993141,0.0837451949478309,"inconsistent_low_flag_despite_always_failing"
"depth","splatter","pca_glmpca","step6_2_cluster_collapse","always_below_threshold",NA,0.769567513289929,0.594728171334432,0.901783264746228,"consistent_uniform_high"
"depth","splatter","pca_glmpca","step6_4_variance_hijacking","always_below_threshold",NA,0.102864914663479,0.0326474622770919,0.184239428885228,"inconsistent_low_flag_despite_always_failing"
"depth","splatter","pca_glmpca","step6_6_neighborhood_collapse","always_below_threshold",NA,0.994600036609921,0.983800109829764,1,"consistent_uniform_high"
"depth","splatter","pca_glmpca","step6_7_subspace_rotation_slippage","always_below_threshold",NA,0.993323661082524,0.981893004115226,0.99945085118067,"consistent_uniform_high"
"depth","splatter","pca_libnorm","step6_1_technical_separation","interpolated",2481.62200794934,0.0317582780983029,0.00301783264746228,0.0604063701263042,"consistent_increasing"
